country,region,code,hdi,A(House School),A(House Hospital),A(House Pharmacy),A(House Restaurant),A(School Hospital),A(Police Hospital),A(House Place of Worship),A(Bank Slot Machine),A(Fast-Food Place Toilet),A(House Police),A(University Library),A(House Library),D(School),D(Hospital),D(Pharmacy),D(Police),D(Library),D(Toilet),D(Restaurant),D(Place of Worship),D(Post Box),D(Vending Machine),D(Bench),D(Tree)
Canada,British Columbia,CANr110,0.946,1.0816939867481947,5.9569778887802425,4.856483243861781,2.2207905602164226,8.726798079595877,13.532693224667755,1.292343221911333,,1.3385618815565308,3.8338939331878503,0.8214987310218249,3.3702868131691,0.0018173488495617795,0.0001061720272584259,0.0006867297082247122,0.0001637759994943804,0.00019766068904494185,0.0031094850110898564,0.005166285666808937,0.001664867746584253,0.001800406504786499,0.00041565219182022054,0.011285860599640336,0.06629087714706675
Switzerland,Lake Geneva region,CHEr101,0.973,1.239850502723734,5.41932056491454,2.0169513074910124,0.6494709930884364,3.1103100946761053,3.5961725988703592,0.6270599316265075,,0.3286540830308436,3.6072663444820363,0.7657583041241954,2.0676231649009047,0.11088718838613411,0.009414949957313273,0.055443594193067054,0.013250670310292754,0.02940718937284269,0.12727617534886462,0.4409916066425501,0.14564113946313,0.1320417673025664,0.11867486304218336,1.4035249473402194,22.947603830525065
Switzerland,Espace Mittelland,CHEr102,0.957,0.6757996462312931,4.445774291199576,2.0962151511163043,0.5149337540532682,4.615012550554775,4.193030659810351,0.6421536275686972,,0.3527479637862747,2.759047961129619,0.13470018804163827,2.144407169986165,0.12849954454369222,0.005944466208651915,0.031010298721800823,0.011591709106871234,0.022886194903309873,0.12582453474979888,0.36340503422225373,0.13325511751061375,0.20290444658865203,0.430874725690453,1.6862469145209265,15.822881079752856
Switzerland,Northwestern Switzerland,CHEr103,0.964,0.5630355253421374,4.4661776786331435,1.2275346749004417,0.45289490658136466,4.080273772466598,3.2621623094239847,0.6040838271064717,,0.5393614909517521,2.7252351505421957,0.26887308966376583,1.3002644753796446,0.3654414127732591,0.016753761044046262,0.12408254273246763,0.028271971761828066,0.08429236025285776,0.24240598010604436,0.8743369044861643,0.2910965981403038,0.42460313146004747,1.1287846503426169,4.714089513768517,29.919075894470865
Switzerland,Zurich,CHEr104,0.994,0.39984799269353577,3.2514865093276586,1.6770085702019633,0.36207196473882763,3.479393179099072,2.8623460578694315,0.5910319577216845,,0.24802307561681955,1.7781286435757635,0.32073763039967884,1.0124343787274717,0.7651065885786177,0.016733100353529345,0.14367386165616577,0.0750104498606488,0.11020766094910707,0.49737698292214816,1.568872409008493,0.3306229828473212,0.9307065817325115,2.14125984179129,12.089953507155187,177.380672806239
Switzerland,Eastern Switzerland,CHEr105,0.949,0.8723131554176266,5.120744343213039,3.415188336029937,0.4597040562887399,5.256245010416164,5.788546053712686,0.5813282773518577,,0.37897808990140536,2.991687786573105,0.2795156104643462,2.539588976832085,0.08900905146920468,0.004794806886196139,0.011943428061979473,0.008805009009196545,0.014733133886675407,0.10470114673311931,0.279842365539811,0.1141164038914681,0.10138837106629289,0.21184328606284758,1.388140182707293,9.147794112406059
Switzerland,Central Switzerland,CHEr106,0.961,0.7566915581603069,5.342393406921048,3.1720662945991625,0.5366447498728598,4.912665660763927,6.2953499732697775,0.5115515298286513,,0.3430820722453369,1.9422255240153454,2.3230603823290172,2.175271804134206,0.13955869655534445,0.005824279471009559,0.017248827664143696,0.015008720175293866,0.017248827664143696,0.16756004016596734,0.4045634124862794,0.1930972655388554,0.15658351347060318,0.4981999055202023,2.0835239753792276,10.402387145971959
Switzerland,Ticino,CHEr107,0.964,1.3273674815735903,5.31823825561597,1.9755612303172,0.6460991394120362,3.539325090559588,3.0311847671883463,0.4223718838836379,,0.3481207098724382,5.188994799269545,0.3398429181422109,2.1072258322117743,0.0642793636233533,0.005620053650129251,0.051985496263695564,0.011591360653391579,0.037232855432106284,0.10853728611812115,0.33931073912655346,0.2989166035162495,0.12504619371537581,0.20478070487658456,1.137358357444907,3.0773306267988976
Chili,Tarapaca (incl Arica and Parinacota),CHLr101,0.887,2.5497260605908645,64.31223400843709,57.13142793093515,10.599416029454359,29.902651267069974,68.95605611359267,3.8545965147608925,,2.5349230888320307,6.553456530632631,0.8887309308449329,19.881299924803447,0.004211163669702199,0.00010527909174255497,0.0004386628822606457,0.0007018606116170332,0.0001754651529042583,0.0005614884892936265,0.002456512140659616,0.0017721980443330086,0.0,0.0,0.0020704888042702477,0.06962457267240969
Chili,Antofagasta,CHLr102,0.881,2.2417681620858576,7.951468433094353,5.080745229738085,2.197179700872253,10.569714421937872,46.61882012991989,2.2179289222267644,,7.072536453198354,3.916486950647891,16.943734759284496,23.336420245453446,0.001923782557136664,0.000126668810346447,0.0003958400323326469,0.0002691712219861999,7.125120581987645e-05,0.0004829248394458293,0.002430457798522452,0.0006016768491456234,0.0,3.166720258661175e-05,0.0006095936497922763,0.17527004951624942
Chili,Atacama,CHLr103,0.864,2.3606097988498616,18.84537811503565,8.960512595144555,6.005359360937524,16.61691909747553,27.101554999668128,5.615396803601644,,38.274086594509065,3.5731241856885263,6.08946346233865,20.108944566972248,0.0026671606506820443,0.00013203765597435862,0.0002772790775461531,0.0003697054367282042,0.0001056301247794869,0.0001848527183641021,0.0015184330437051242,0.0005545581550923062,1.3203765597435863e-05,1.3203765597435863e-05,0.0028256058378512746,0.039043534871617845
