country,region,hdi
Denmark,Midtjylland,.948
Denmark,Nordjylland,.931
Dominican Republic,"Region 0 (Distrito Nacional, Santo Domingo, Monte Plata)",.781
Dominican Republic,"Region I (Peravia, San Cristobal, San Jose de Ocoa, Azua)",.762
Dominican Republic,"Region II (Espaillat, Puerto Plata, Santiago)",.759
Dominican Republic,"Region III (Duarte, Maria Trinidad Sanchez, Salcedo, Samana)",.762
Dominican Republic,"Region IV (Independencia, Bahoruco, Barahona, Pedernales)",.754
Dominican Republic,"Region V (El Seibo, La Altagracia, La Romana, San Pedro de Macoris, Hato Mayor)",.75
Dominican Republic,"Region VI (San Juan, Elias Pina)",.733
Dominican Republic,"Region VII (Dajabon, Monte Cristi, Santiago Rodriguez, Valverde)",.74
Dominican Republic,"Region VIII (La Vega, Monsenor Nouel, Sanchez Ramirez)",.765
Algeria,"Nord Centre (Alger, Blida, Boumerdes, Tipaza, Bouira, Medea, Tizi-Ouzou, Bejaia, Chlef, Ain Defla)",.766
Algeria,"Nord Est (Annaba, Constantine, Skikda, Jijel, Mila, Souk Ahras, El Tarf, Guelma)",.741
Algeria,"Nord Ouest (Oran, Tlemcen, Mostaganem, Ain Temouchent, Relizane, Sidi Bel Abbes, Mascara)",.737
Algeria,"Hauts Plateaux Centre (Djelfa, Laghouat, MSila)",.722
Algeria,"Hauts Plateaux Est (Setif, Batna, Khenchela, Bordj Bou Arreridj, Oum El Bouaghi, Tebessa)",.735
Algeria,"Hauts Plateaux Ouest (Tiaret, Saida, Tissemsilt, Naama, El Bayadh)",.73
Algeria,"Sud (Bechar, Tindouf, Adrar, Ghardaia, Biskra, El Oued, Ouargla, Tamanrasset,Illizi)",.736
Ecuador,Coste,.763
Ecuador,Sierra,.778
Ecuador,Oriente,.728
Egypt,Cairo,.777
Egypt,Alexandria,.777
Egypt,Port Said,.795
Egypt,Suez,.781
Egypt,Damietta,.754
Egypt,Dakahlia,.745
Egypt,Sharkia,.727
Egypt,Kalyubia,.732
Egypt,Kafr El-Sheikh,.732
Egypt,Gharbia,.74
Egypt,Menoufia,.748
Egypt,Behera,.715
Egypt,Ismailia,.742
Egypt,Giza,.73
Egypt,Beni Suef,.694
Egypt,Fayoum,.698
Egypt,Menya,.686
Egypt,Assuit,.673
Egypt,Souhag,.682
Egypt,Qena,.705
Egypt,Aswan,.722
Egypt,"Frontier governorates (Red Sea, New Valley, Matroh, North Sainai, South Sainai)",.735
Eritrea,Debubawi Keih Bahri,.493
Eritrea,Maekel,.678
Eritrea,Semenawi Keih Bahri,.4
Eritrea,Anseba,.45
Eritrea,Gash-Barka,.37
Eritrea,Debub,.469
Spain,Galicia,.91
Spain,Principado de Asturias,.906
Spain,Cantabria,.91
Spain,Pais Vasco,.939
